Month,Month_Name,Sports_Income_Cash,Sports_Income_Bank,Sports_Income_Total,FB_Income_Cash,FB_Income_Bank,FB_Income_Total,Total_Income_Cash,Total_Income_Bank,Total_Income,Sports_Exp_Maintenance,Sports_Exp_Salary,Sports_Exp_Marketing,Sports_Exp_Utilities,Sports_Exp_Stationery,Sports_Exp_Statutory,Sports_Exp_TeaMeals,Sports_Exp_Purchases,Sports_Exp_Other,Sports_Exp_Total,FB_Exp_Purchases,FB_Exp_Stock_Adjustment,FB_Exp_Other,FB_Exp_Total,Total_Expenses,Sports_Surplus,FB_Surplus,Total_Surplus,Sports_Margin_%,FB_Margin_%,Overall_Margin_%,Notes,,,,,,
2025-04-01,April 2025,567380,340520,907900,"153,535.00","8,310.00","161,845.00","720,915.00","348,830.00","1,069,745.00",63620,238640,19590.77,131838.2,760,15000,0,0,0,469448.97,"126,040.00","-12,604.00",0,"113,436.00","582,884.97",438451.03,"48,409.00","486,860.03",48.29287697,29.91071704,45.51178365,#ERROR!,(AB2/H2)*100,0),#ERROR!,(AC2/K2)*100,0),April - Enter your F&B data
2025-05-01,May 2025,799975,506905,1306880,259705,12440,272145,1059680,519345,1579025,30000,224527.5,19156.64,118871.27,150,15000,600,35100,0,443405.41,179226.7,-17922.67,0,161304.03,604709.44,863474.59,110840.97,974315.56,66.07145185,40.72864466,61.70361837,#ERROR!,(AB3/H3)*100,0),#ERROR!,(AC3/K3)*100,0),Sample data - May 2025
2025-06-01,June 2025,"502,725.00","204,025.00","706,750.00","155,990.00","3,190.00","159,180.00","658,715.00","207,215.00","865,930.00","21,500.00","180,640.00",0,"5,676.32",300,"15,000.00",0,0,"141,132.81","364,249.13","199,589.00","-19,958.90",0,"179,630.10","543,879.23","342,500.87","-20,450.10","322,050.77",48.46138946,-12.84715417,37.19131685,#ERROR!,(AB4/H4)*100,0),#ERROR!,(AC4/K4)*100,0),Enter June data
2025-07-01,July 2025,"983,535.00","493,740.00","1,477,275.00","329,690.00","3,200.00","332,890.00","1,313,225.00","496,940.00","1,810,165.00",500,"180,080.00","63,280.84","225,667.37",190,"15,000.00","2,300.00",,"141,132.81",628151.02,"351,309.00","-35,130.90",0,"316,178.10","944,329.12","849,123.98","16,711.90","865,835.88",57.47907329,5.020246928,47.8318761,#ERROR!,(AB5/H5)*100,0),#ERROR!,(AC5/K5)*100,0),Enter July data
2025-08-01,August 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#ERROR!,(AB6/H6)*100,0),#ERROR!,(AC6/K6)*100,0),Enter August data
2025-09-01,September 2025,"939,950.00","210,800.00","1,150,750.00","100,950.00",0,"100,950.00","1,040,900.00","210,800.00","1,251,700.00","55,130.00","115,814.33","31,337.19","88,336.38",0,"15,000.00","44,820.00",0,"181,914.61","532,352.51","85,115.00","-8,511.50",0,"76,603.50","608,956.01","618,397.49","24,346.50","642,743.99",53.73864784,24.11738484,51.34968363,#ERROR!,(AB7/H7)*100,0),#ERROR!,(AC7/K7)*100,0),Enter September data
2025-10-01,October 2025,"475,780.00","140,700.00","616,480.00","52,680.00",0,"52,680.00","528,460.00","140,700.00","669,160.00","4,800.00","118,939.83","31,332.08","102,313.41",0,"15,000.00","34,350.00",0,"181,914.61","488,649.93",0,0,0,0,"488,649.93","127,830.07","52,680.00","180,510.07",20.73547723,100,26.97562167,#ERROR!,(AB8/H8)*100,0),#ERROR!,(AC8/K8)*100,0),Enter October data
2025-11-01,November 2025,"570,920.00","98,600.00","669,520.00","53,330.00",0,"53,330.00","624,250.00","98,600.00","722,850.00","4,000.00","128,316.16",0,"91,081.34",0.00,"15,000.00","32,140.00",0,"181,914.61","452,452.11","90,586.00","-9,058.60",0,"81,527.40","533,979.51","217,067.89","-28,197.40","188,870.49",32.42141982,-52.87342959,26.12858684,#ERROR!,(AB9/H9)*100,0),#ERROR!,(AC9/K9)*100,0),Enter November data
